koordinate_merenjastanica,North,East,H,mmperm2
Nakovo,45.8733333,20.5719444,82,551.2
Nastavci-Jastrebac,43.4386111,21.3722222,575,840
Natalinci,44.2533333,20.8119444,140,651.7
Necavce,42.1708333,21.3069444,570,630
Nedakovac,42.7997222,20.9944444,515,620.5
Negbin,43.5552778,19.7955556,925,858.5
Negotin,44.2280556,22.5361111,42,642.9
Neresnica,44.4419444,21.7325,400,770
Nerodimlje,42.3691667,21.0897222,640,844
Neuzin,45.3472222,20.7163889,80,619.3
Niö,43.3225,21.8997222,202,598
Niöevac,43.4616667,22.1033333,480,625.3
NovaCrnja,45.6719444,20.6391667,80,595
NovaVaroö,43.46,19.8183333,960,1019
NoviBecej,45.5952778,20.1388889,80,581.5
NoviKarlovci,45.0811111,20.1827778,104,593.4
NoviKneûevac,46.0383333,20.0963889,85,567
NoviPazar,43.1366667,20.5175,545,680
NoviSad,45.2533333,19.8461111,84,595.2
NoviSlankamen,45.1272222,20.2469444,130,575.1
NoviVladimirovac,45.0333333,20.92,140,684
Noviéednik,45.9427778,19.6741667,110,579.9
NovoMiloöevo,45.725,20.3375,80,696
NovoSelo(Pcinja),42.3683333,21.9866667,550,676.6
Obrenovac,44.6561111,20.2125,80,696
Obreû,44.7369444,20.0063889,80,600
Odûaci,45.5063889,19.2652778,90,609.2
Ogar,44.7955556,19.9786111,80,565
Okose,43.2033333,20.3444444,1050,725
Okruglica(Vlasina),42.6688889,22.3363889,1260,897.2
Omoljica,44.7583333,20.7597222,80,680
Oplanic,43.9888889,20.6877778,300,670.9
Opovo,45.0558333,20.4630556,80,613.2
Orahovac,42.4002778,20.6627778,415,740
Oraöac,44.5958333,20.0369444,115,662.2
Oraöje(Varvarin),43.7430556,21.2741667,200,624
Oreökovica,44.3177778,21.3358333,145,694.1
Orlane,42.8175,21.3427778,640,705
Orom,45.9763889,19.8383333,110,587.3
Osecina,44.3736111,19.6075,210,883.8
Oöljane,43.675,22.3808333,410,643.6
Osonica,43.5941667,20.3186111,625,1016.8
Ostojicevo,45.8891667,20.1725,85,540.5
Oötrozub,42.8813889,22.245,1548,925
Ostruûnica,44.7288889,20.3252778,90,659.3
OvcarBanja,43.9,21.1925,285,779.8
Padina,45.1183333,20.7316667,110,637.1
Pagaruöa,42.4177778,20.7461111,552,730.9
Palatna(Siljevica),43.0538889,21.1188889,765,722.5
Palic,46.1016667,19.7663889,108,545
Paljane,43.9777778,21.4405556,190,644.4
Pambukovica,44.4413889,19.9288889,180,745.3
Pancevo,44.8683333,20.6488889,80,626.5
PancicevVrh,43.2691667,20.8288889,2017,1218
Papratna,43.4672222,22.4225,480,767.8
Paracin,43.8636111,21.415,125,626
Parage,45.4147222,19.4088889,85,594
Parcane,43.6861111,21.2294444,230,614.5
Partizani,44.3366667,20.4630556,202,748
Pasjaca(Toplica),43.1630556,21.6280556,971,677
Paötrik,42.2102778,20.5294444,1988,1450
Pec,42.6580556,20.2980556,525,862
Pecena(850?),42.3555556,21.5613889,750,883.2
Pecka,44.2902778,19.5441667,310,945.9
Perlez,45.2105556,20.3802778,80,577.9
Petina,43.4991667,21.4194444,279,733.5
Petkovica,44.6708333,19.4416667,100,797
Petrovac-Mlava,44.3797222,21.4208333,125,688.7
Petrovac-Prok.,43.32,21.585,485,626.4
Petrovaradin,45.2358333,19.8930556,120,647.7
PetrovoSelo,44.63,22.4280556,450,846.7
Pirot,43.1563889,22.5927778,370,625
Planina,44.3502778,19.2466667,660,1067
Planinica,43.8347222,22.1216667,380,676.2
Platicevo,44.8266667,19.8288889,80,595
Plavna(Negotin),44.2986111,22.2683333,280,777.3
Plavna(Vojvodina),45.3497222,19.1302778,82,691.1
Pleö,43.4838889,20.9236111,580,807.1
Pocuta,44.2088889,19.7341667,480,1037.8
Podgorac,43.9380556,21.9569444,325,686.8
Podrince,43.0533333,21.8694444,300,637.6
Podujevo,42.9063889,21.1991667,620,675.3
Podvröka,44.5852778,22.5022222,140,653.8
Ponikve(Uzice),43.8844444,19.7136111,900,880
Ponorac,42.5019444,20.6272222,515,796
Ponoöevac,42.4066667,20.2888889,420,920
Popinci,44.9308333,20.0472222,85,640
Popovica,44.2222222,22.2891667,400,683.4
Porodin,43.4030556,21.5883333,350,746.1
Postenje,44.1430556,19.5663889,600,933.1
Povlen,44.1305556,19.7455556,1347,1180
Poûar(Razbojna-Blace),43.2777778,21.1361111,1164,830
Poûarevac,44.6211111,21.19,80,674
Poûarevac-Ljub.,44.5975,21.1430556,80,649
Poûega,43.8458333,20.0408333,333,739.6
Prahovo,44.2930556,22.5980556,60,687.8
Pranjani,43.9786111,20.2116667,475,747
Praskovce,43.6227778,21.5538889,165,630.6
Predejane,42.8316667,22.1386111,318,767
Predvorica,44.69,19.8116667,135,709
Preobraûenje,42.4669444,21.9419444,495,637.8
Preöevo,42.3097222,21.6536111,510,705
Priboj,43.5813889,19.5325,390,788
Pridvorica(r.Studenica),43.4811111,20.3775,900,759.9
Prigrevica,45.6780556,19.0891667,90,713.8
Prijepolje,43.3886111,19.6516667,450,799
Priluûje)kosovopolje),42.7330556,21.0302778,530,648
Prisjan,43.0791667,22.5619444,540,640.8
Priötina,42.6652778,21.1708333,645,605
Prizren,42.2102778,20.7461111,420,790
Prlita,43.8538889,22.3494444,250,709.6
Prokuplje,43.2308333,21.5883333,265,544
ProlomBanja,43.0447222,21.4058333,600,773
Prugovac(Aleksinac),43.5597222,21.7919444,320,650
Prugovo(Poûarevac),44.5630556,21.1977778,80,646
Rabe,46.1155556,20.2608333,80,635
Raca(Kraguj.),44.2238889,20.9897222,135,620.9
Raca(Kuröum.),43.0125,21.3191667,435,579
Radan,42.9986111,21.5036111,1408,950
Radenka,44.5858333,21.7958333,390,766
Radicevac,43.5841667,22.4236111,585,810
Radinjince,43.0069444,22.4202778,465,725.3
Radiöevo,42.8263889,20.7013889,790,730
Radojevo,45.7475,20.7902778,80,556.1
Radoöevac,42.7272222,21.2594444,860,693.3
Radovnica,42.4141667,22.2325,945,758.2
Rajac(pl.),44.1363889,20.2302778,847,950
Rajaci(Visegrad),43.8630556,19.3452778,950,908
Rajkinac(Bagrdan),44.0727778,21.2477778,200,669
RakovDol,42.9283333,22.4238889,760,756
RakovinaAKMO,42.4913889,20.5169444,360,787.6
Ralja,44.57,20.5661111,230,695.9
Ram,44.8111111,21.3391667,95,657.4
Ranilug,42.4875,21.6016667,440,612.7
Ranovac,44.4430556,21.4841667,155,750.1
Raöane,42.9041667,20.9483333,860,686.5
Raöka,43.2872222,20.6186111,420,650
Rasno(Sjenica),43.1525,20.1444444,1150,765.2
Rastina,45.9616667,19.0372222,105,562.8
Rastiöte(Peruckoj.),43.9283333,19.3622222,750,1013.3
Ratkovo,45.4566667,19.345,95,572.1
Rautovo,43.2775,22.045,600,760.4
RavnaDubrava,43.0708333,22.1963889,450,762.7
RavniTopolovac,45.4594444,20.5736111,80,568.3
Raûana(Valjevo),44.0730556,19.9236111,508,820.3
Raûanj,43.6763889,21.5536111,290,671.8
Razbojiöte,44.1627778,19.6183333,950,1066
Razbojna,43.3436111,21.1688889,300,833
Recane,42.1725,20.8225,620,809.2
Rekovac,43.8622222,21.1,245,655.7
Restelica(Sarpl.),41.9438889,20.6755556,1450,1077.5
Rezala,42.6883333,20.7738889,745,729.3
Reûevice(Sjenica),43.0766667,20.1958333,1200,698
Rgaje,43.1108333,21.5036111,650,705.1
Rgotina,44.0097222,22.2775,150,659.2
Ribare,43.4402778,21.5402778,380,659.9
Ribaric,42.9713889,20.4577778,685,751.5
Ridica,45.9925,19.1119444,100,580
Riljac,43.7241667,21.0663889,300,725
Rimskiäancevi,45.3230556,19.8455556,85,588
Rocevac,44.2169444,21.3197222,150,694.8
Rogacica,44.0375,19.6408333,240,774
Rogozna,43.0138889,20.58,1479,950
Rtanj,43.7758333,21.8988889,1570,940
Rudine(Studenica-Radocelo),43.4288889,20.4005556,1050,675
RudnaGlava,44.3247222,22.0925,185,689
Rudnik,44.1311111,20.5455556,1132,969
RudnikNaselje,44.1408333,20.5047222,595,884.8
Rudno,43.4152778,20.4872222,1120,832
Rudoka,41.9186111,20.7811111,2658,1500
Rudovci,44.3694444,20.4147222,180,781.1
Rujiöte,43.7222222,21.9983333,550,764.7
Ruma,45.0077778,19.8288889,110,641
Rumenka,45.2927778,19.7469444,80,592.7
Ruöanj,44.6825,20.4444444,230,717.7
RuskiKrstur,45.5619444,19.4211111,85,580.1
RuskoSelo,45.76,20.5808333,80,536.2
äabac,44.7522222,19.6933333,80,694
Sajan,45.8430556,20.2805556,80,560
äajkaö,45.2725,20.0947222,76,582.7
äajkovac,42.8563889,21.2536111,630,624.3
Sakule,45.1452778,20.4863889,80,605.5
Salaö(Krajinski),44.1108333,22.3275,255,633.3
Samanjac,43.795,21.6861111,852,850
Samodreûa,42.8238889,21.055,600,657.2
Sanad,45.9766667,20.1113889,85,573.2
äarpl.(Vraca),41.8877778,20.7427778,2536,1500
äarbanovac,43.9616667,22.0819444,260,645.9
äaöinci,44.9725,19.7683333,90,660
äatrinci(Ruma),45.0619444,19.9277778,146,571.5
SecaReka,44.0105556,19.8419444,480,798.3
Secanj,45.3663889,20.7766667,80,700.9
Seleuö,45.1375,20.9497222,80,620
Selevac,44.4944444,20.8827778,180,593
Seljance,43.0063889,20.9566667,880,758.7
Selova,43.2177778,21.1338889,460,656.1
Semegnjevo,43.7502778,19.5880556,955,807.1
SenjskiRudnik,43.9944444,21.5783333,600,803
Senovac,42.4472222,20.6038889,550,722.6
Senta,45.9491667,20.1083333,80,626
äetonje,44.2738889,21.4761111,170,768
Sevojno,43.8527778,19.9313889,390,781.4
Sibac,44.9147222,19.9661111,80,625
Sibnica,44.4686111,20.4872222,150,738.7
Sicevo,43.3405556,22.0891667,515,668.5
äid,45.1277778,19.2327778,105,668
SijarinsakaBanja,42.7772222,21.6077778,455,885
Siljevica,43.0366667,21.0888889,950,824
äiljevica(Rekovac),43.8447222,20.04,500,805.4
Sinoöevic,44.6172222,19.6533333,145,733.5
äipikovo,44.0288889,22.5022222,280,654.3
Sirogojno,43.6877778,19.8858333,870,923.6
äirokaPlanina(Pcinja),42.3363889,22.0283333,1345,801.1
Sisevac,43.9513889,21.6302778,350,739.7
Sjenica,43.2783333,20.0344444,1015,713
Skela,44.6886111,20.0852778,75,635
Skivijane–akovica,42.4305556,20.3883333,415,1024
Skorenovac,44.7666667,20.9372222,75,655
Skrovna,42.8919444,21.0261111,900,665
Skrûuti,43.7708333,19.9083333,640,976.6
SlavkovceGornje,42.4436111,21.3577778,650,760.1
Smac,42.3005556,20.7277778,320,750.4
Smederevo,44.6663889,20.9638889,120,673
SmederevskaPalanka,44.3719444,20.9966667,121,651
Smiljevic,42.675,21.9105556,640,768.6
Smilovci,43.085,22.8544444,680,644.9
Smoljinac,44.6055556,21.3527778,140,621.3
Snegotin,44.6113889,21.6413889,220,722.5
Socica,45.0916667,21.4813889,150,715
SokoBanja,43.6519444,21.9036111,300,560
Sokolskapl.,44.2883333,19.4363889,971,1100
Sombor,45.7863889,19.1452778,87,578
äomrda,44.5397222,21.9811111,803,910
Sonta,45.5936111,19.1008333,85,602.7
Sopot,44.525,20.6066667,170,691.3
Sr.Kamenica,45.2388889,19.8761111,150,648.1
Sr.Karlovci,45.2002778,19.9680556,130,570
Sr.Mitrovica,44.9725,19.6441667,81,643.3
Srbica,42.7472222,20.7927778,640,620
Srbobran,45.5538889,19.8347222,80,585.4
SrebrnaGlava,43.1925,23.0105556,1933,1080
Sredska,42.1702778,20.86,720,976
Sremcica,44.6791667,20.4261111,210,761.9
SremskaRaca,44.9272222,19.3213889,80,700
SremskiPavlovci,45.0522222,19.7911111,130,690
Srnje,43.6311111,21.3111111,210,650.3
SrpskaCrnja,45.7305556,20.7222222,80,569.7
SrpskiItebej,45.5738889,20.7466667,85,600.2
SrpskiMiletic,45.5680556,19.2377778,85,635.2
Stalac,43.6827778,21.4466667,150,608.7
Staniöic,45.9413889,19.1988889,95,574.5
Staniöinci,43.5433333,20.9266667,900,845.9
Stapar,45.6686111,19.2369444,90,593.8
StaraMoravica,45.8794444,19.4988889,110,593.8
Starcevo,44.8105556,20.7377778,80,665
StariGlog,42.4744444,22.1366667,900,794.2
StariSivac,45.7138889,19.3836111,85,540.2
Starica,44.4375,21.9338889,797,920
ätava(Kopaonik),43.17,20.9786111,850,862
Stave(Krupanj),44.3575,19.5158333,300,936
ätavica,44.1863889,20.3416667,225,832.1
Stepanje,44.3652778,20.0983333,230,805.7
Stepanovicevo,45.4172222,19.7313889,85,596.9
Stepojevac,44.765,20.2613889,125,656.4
ätimlje,42.4325,21.0452778,610,757.7
ätitar(Sabac),44.7925,19.5988889,83,698.5
Stolovi,43.6102778,20.6161111,1375,1200
StojkovicaMahala,42.6963889,22.3783333,1280,862.9
Stragari,44.1536111,20.6994444,260,738.9
Streöer,42.6263889,22.2727778,1875,1120
Strezovce,42.65,21.5119444,900,661.9
Strmosten,44.1163889,21.62,380,799.9
Strmovo,44.085,19.5883333,700,910
ätrpce,42.2388889,21.0327778,860,925
Stubla,42.8894444,21.5036111,660,630.1
Stubline,44.5788889,20.1516667,100,694.9
Studenica,43.4866667,20.5369444,465,671.6
Subotica,46.1036111,19.6975,110,533.7
Subotinac,43.6058333,21.725,280,612.3
Sugubine,43.3686111,20.0577778,1090,674.1
Sukovo,43.0472222,22.6580556,475,650.4
Sumrakovac,43.9394444,22.0369444,220,664.6
Surcin,44.7913889,20.2763889,75,661.2
Surdulica,42.6908333,22.1769444,500,737.2
äurjan(JasaTomic),45.3994444,20.8788889,80,746.2
äuöara,44.9408333,21.1302778,180,670
Susek,45.2213889,19.5652778,80,651.6
Suöice,42.2902778,21.0233333,800,1006.8
SuvaReka,42.3583333,20.8302778,420,722
Sv.Ilija,42.5727778,21.8105556,1274,810
SvetozarMiletic,45.8516667,19.2405556,90,574.8
Svilajnac,44.2330556,21.2294444,100,675.6
Sviloö,45.1741667,19.5911111,150,697.2
Svode,42.9766667,22.2702778,290,795.6
Svojnovo,43.7933333,21.3194444,140,639.6
Svrlj.pl.,43.33,22.2586111,1334,850
Svrljig,43.4144444,22.1294444,375,639.6
Tanda,44.2291667,22.1508333,335,700
Tankosic,42.3783333,21.2933333,510,637.2
Taor,44.0952778,19.8369444,900,978
Tara(Mitrovac),43.9211111,19.4283333,1080,1012.6
Taraö,45.4722222,20.2316667,80,547.2
Tavankut,46.0822222,19.5141667,125,559.2
Tekeriö,44.5530556,19.5616667,280,825.6
Tekija,44.6838889,22.4133333,80,770
Temerin,45.4186111,19.9236111,80,583
Temska,43.2594444,22.55,380,649.5
Tijovac,43.4441667,22.2338889,630,724.9
Titel,45.2641667,20.2605556,85,596.2
Toba,45.6963889,20.5905556,80,556.6
Togocevac,42.9430556,21.8616667,240,638.5
Tomaöevac,45.2733333,20.6541667,80,597.3
TopliDo,43.3402778,22.6886111,700,822.2
Topola,44.2680556,20.7163889,250,665.1
Toponica(Zaplanje),43.1591667,21.9283333,240,577.9
Torda,45.5908333,20.4916667,85,575.5
Tornjoö,45.8816667,19.8663889,110,539
Tovariöevo,45.3641667,19.3588889,85,615.2
Tovrljane,43.1058333,21.4275,585,681.3
TrajanovaTabla,44.6066667,22.3155556,290,790.5
Trecak,43.2575,21.0116667,850,642.6
Trem,43.1833333,22.1769444,1808,1143
Tresibaba,43.4791667,22.2247222,787,810
Treönjevica,43.8738889,21.3552778,120,665
Trgoviöte(Vranj.),42.3630556,22.0891667,600,675.8
Trgoviöte(éicko),43.8086111,20.7380556,570,897.6
Trnavci,43.4313889,21.1263889,305,636.4
TroglanBara,43.9805556,21.7380556,720,950
Troglav,43.6452778,20.4869444,1177,920
Trstena,42.675,21.7908333,1030,876.4
Trstenik,43.6172222,21.0358333,170,735.8
Tudevce,42.6866667,21.5608333,1040,811.7
Tulare,42.7916667,21.4675,520,712.1
Tupiûnica,43.7233333,22.16,1162,820
Tutin,42.9902778,20.34,850,750
Ub,44.4580556,20.1075,90,731
Udovice,44.6416667,20.8877778,180,725.7
Ugao,43.0538889,20.0922222,1200,975.7
Ugrinovci,44.8766667,20.2188889,80,620.4
Ukca,42.8047222,20.6172222,550,713.5
Uljma,45.0413889,21.1877778,90,644.6
Umcari,44.6019444,20.7663889,140,677.3
Umka,44.6875,20.3377778,85,709.2
Uroöevac,42.3697222,21.1558333,580,692
Uöce(ibarsko),43.4716667,20.6519444,335,612.3
Uöce(savsko),44.8230556,20.4472222,70,674.6
Uzdin,45.2097222,20.6538889,80,600.3
Uûice,43.8563889,19.8741667,440,790
Vajska,45.4144444,19.1461111,85,601.8
Valjevo,44.2752778,19.9172222,174,809.3
Varna,44.6741667,19.6838889,110,753.2
Varvarin,43.7183333,21.4052778,140,629.6
Vaöica,45.1,19.22,85,679.4
Vatin,45.2202778,21.2647222,80,774
VelikaDrenova,43.6333333,21.1655556,175,696.7
VelikaJablanica,42.7583333,20.3227778,585,928.6
VelikaKrsna,44.4869444,20.8383333,230,662.4
VelikaKruöa,42.3188889,20.6436111,320,752.1
VelikaLukanja,43.2352778,22.6836111,600,713.6
VelikaPcelica,43.9072222,21.0069444,390,714.9
VelikaPlana,44.3330556,21.1072222,115,701
VelikaPlana(Toplica),43.3202778,21.4461111,505,681.2
VelikaRemeta,45.1519444,19.9536111,200,684.2
Velikaäatra,43.0958333,21.2163889,780,820.3
VelikiGaj,45.2952778,21.2063889,85,662
VelikiGreben,44.3561111,22.2505556,655,930
VelikiMokriLug,44.7586111,20.5613889,220,707.6
VelikiPopovic,44.1141667,21.3925,180,690.3
Velikiäiljegovac,43.5194444,21.5630556,235,678.5
VelikoGradiöte,44.7597222,21.5452778,82,675.3
VelikoRibare,42.5086111,21.0463889,570,666.2
VelikoSrediöte,45.1797222,21.4402778,110,724
VelikoTrnjane,42.9272222,21.9527778,240,660.4
Veluce,43.5508333,21.1319444,220,813.6
Vencane,44.4038889,20.5011111,140,734.2
Vidlic,43.1361111,22.8238889,1413,840
Vidojevica,43.1411111,21.5613889,1155,825
Vilovo,45.2458333,20.1633333,70,635.6
Vina,43.6188889,22.1522222,370,665
VisockaRûana,43.1552778,22.8175,700,720.9
Vitanovac,43.3519444,22.3544444,600,783.4
Vitkovac,43.7905556,20.7947222,215,695.2
Vitoöevac,43.7388889,21.6116667,250,650
VladicinHan,42.7075,22.0686111,395,742.5
Vladimirci,44.6116667,19.8191667,120,719
Vlahinja,42.9702778,20.8822222,950,627.8
Vlajkovci,43.3372222,20.9844444,620,749
Vlaole,44.2716667,22.0172222,400,815
Vlasi,42.9969444,22.6397222,485,682.8
Vlasina,42.7336111,22.3411111,1190,842.8
VlasinaRid,42.7211111,22.3236111,1380,828.1
Vlasotince,42.9647222,22.1333333,270,710.5
VodiceKrtog,43.0216667,21.2597222,820,807.1
Vojka,44.9388889,20.1872222,80,600
Voluja,44.4877778,21.8061111,185,719
Volujak,42.5619444,20.5761111,350,780.9
Vranic,44.605,20.3563889,230,733
Vranje,42.5516667,21.9044444,433,624
Vranovina,43.2363889,20.4463889,700,625.8
Vratarnica,43.7922222,22.3505556,160,700.1
Vrba,43.6963889,20.8186111,190,745.9
Vrbas,45.58,19.6752778,87,551
Vrbica,46.0161111,20.3452778,80,612
Vrbica,42.5388889,21.3261111,820,785
Vrcin,44.6647222,20.6241667,250,712.4
Vrdila,43.7116667,20.5836111,245,760.4
Vrmbaje,43.5208333,20.4163889,1095,842.7
VrnjackaBanja,43.6166667,20.9336111,235,780.9
Vröac,45.1238889,21.3361111,83,660
Vucitrn,42.8222222,20.9708333,500,598.4
Vucje,42.8647222,21.915,270,844.7
Vuckovica,43.6725,20.2733333,495,947.1
Vuckovica(Knic),43.9591667,20.7988889,335,666.5
Vukosavci,44.2522222,20.5272222,360,866.6
éabalj,45.3719444,20.0688889,80,611.4
éabari,44.3558333,21.22,110,639.7
Zabrde,43.5683333,19.3213889,780,903.8
éagubica,44.1966667,21.79,314,649.3
Zajaca,44.4622222,19.2663889,340,920
Zajecar,43.905,22.3158333,137,618
Zakuta,43.8383333,20.8441667,300,722.3
Zaovine,43.8647222,19.3897222,900,880
Zapluûje,42.1286111,20.7611111,1160,1187
éar,42.2702778,20.9544444,1694,1350
éarkovo,44.7563889,20.4247222,175,647.6
Zatonje,44.7677778,21.3888889,150,657.9
Zavlaka,44.4708333,19.5177778,300,867.3
éeljin,43.4783333,20.8102778,1784,1112
Zemun(Cukovac),44.8297222,20.435,105,662.7
éitniPotok,43.0894444,21.5805556,495,592.7
éitorada,43.1886111,21.7147222,220,585.2
Zjum,42.2727778,20.6308333,630,855.8
Zlatibor,43.715,19.7036111,1029,964
Zlatovo,44.2044444,21.4722222,370,816.1
éljeb(Rusulija-Albanija),42.7497222,20.2505556,2381,1400
Zlot,44.0122222,21.9869444,300,709.9
Zmajevo,45.4605556,19.7188889,80,577.7
Zmijnjak,44.7577778,19.4758333,85,714.2
Zrenjanin,45.3916667,20.4163889,80,566
Zubetinac,43.6713889,22.1013889,580,667.8
ZubinPotok,42.9125,20.6991667,600,723.4
éupanjevac,43.8075,21.0341667,335,737.8
éur,42.165,20.6288889,430,1005
Zvijezda,43.9772222,19.3091667,1444,1000
Zvonce,42.9322222,22.5758333,700,706.7





